ds,y
2016-09-04,2
2016-09-05,0
2016-09-06,0
2016-09-07,0
2016-09-08,0
2016-09-09,0
2016-09-10,0
2016-09-11,0
2016-09-12,0
2016-09-13,0
2016-09-14,0
2016-09-15,0
2016-09-16,0
2016-09-17,0
2016-09-18,0
2016-09-19,0
2016-09-20,0
2016-09-21,0
2016-09-22,0
2016-09-23,0
2016-09-24,0
2016-09-25,0
2016-09-26,0
2016-09-27,0
2016-09-28,0
2016-09-29,0
2016-09-30,0
2016-10-01,0
2016-10-02,0
2016-10-03,7
2016-10-04,54
2016-10-05,45
2016-10-06,44
2016-10-07,37
2016-10-08,37
2016-10-09,22
2016-10-10,32
2016-10-11,0
2016-10-12,0
2016-10-13,0
2016-10-14,0
2016-10-15,0
2016-10-16,0
2016-10-17,0
2016-10-18,0
2016-10-19,0
2016-10-20,0
2016-10-21,0
2016-10-22,0
2016-10-23,0
2016-10-24,0
2016-10-25,0
2016-10-26,0
2016-10-27,0
2016-10-28,0
2016-10-29,0
2016-10-30,0
2016-10-31,0
2016-11-01,0
2016-11-02,0
2016-11-03,0
2016-11-04,0
2016-11-05,0
2016-11-06,0
2016-11-07,0
2016-11-08,0
2016-11-09,0
2016-11-10,0
2016-11-11,0
2016-11-12,0
2016-11-13,0
2016-11-14,0
2016-11-15,0
2016-11-16,0
2016-11-17,0
2016-11-18,0
2016-11-19,0
2016-11-20,0
2016-11-21,0
2016-11-22,0
2016-11-23,0
2016-11-24,0
2016-11-25,0
2016-11-26,0
2016-11-27,0
2016-11-28,0
2016-11-29,0
2016-11-30,0
2016-12-01,0
2016-12-02,0
2016-12-03,0
2016-12-04,0
2016-12-05,0
2016-12-06,0
2016-12-07,0
2016-12-08,0
2016-12-09,0
2016-12-10,0
2016-12-11,0
2016-12-12,0
2016-12-13,0
2016-12-14,0
2016-12-15,0
2016-12-16,0
2016-12-17,0
2016-12-18,0
2016-12-19,0
2016-12-20,0
2016-12-21,0
2016-12-22,0
2016-12-23,1
2016-12-24,0
2016-12-25,0
2016-12-26,0
2016-12-27,0
2016-12-28,0
2016-12-29,0
2016-12-30,0
2016-12-31,0
2017-01-01,0
2017-01-02,0
2017-01-03,0
2017-01-04,0
2017-01-05,68
2017-01-06,4
2017-01-07,3
2017-01-08,3
2017-01-09,4
2017-01-10,5
2017-01-11,9
2017-01-12,9
2017-01-13,10
2017-01-14,14
2017-01-15,16
2017-01-16,20
2017-01-17,58
2017-01-18,31
2017-01-19,34
2017-01-20,32
2017-01-21,37
2017-01-22,22
2017-01-23,40
2017-01-24,33
2017-01-25,54
2017-01-26,94
2017-01-27,53
2017-01-28,32
2017-01-29,39
2017-01-30,59
2017-01-31,73
2017-02-01,54
2017-02-02,55
2017-02-03,46
2017-02-04,56
2017-02-05,68
2017-02-06,74
2017-02-07,118
2017-02-08,67
2017-02-09,78
2017-02-10,57
2017-02-11,35
2017-02-12,50
2017-02-13,64
2017-02-14,58
2017-02-15,54
2017-02-16,39
2017-02-17,50
2017-02-18,45
2017-02-19,37
2017-02-20,57
